Academic Year,Year of Study,Semester,Attendance
2018,1,2,0.526315789
2018,1,2,0.473684211
2018,1,2,0.736842105
2018,1,2,0.842105263
2018,1,2,0.894736842
2018,1,2,0.894736842
2018,1,2,0.947368421
2018,1,2,0.947368421
2018,1,2,1
2018,1,2,1
2018,1,2,0.368421053
2018,1,2,0.636363636
2018,1,2,0.545454545
2018,1,2,0.318181818
2018,1,2,0.727272727
2018,1,2,0.954545455
2018,1,2,0.363636364
2018,1,2,0.863636364
2018,1,2,0.818181818
2018,1,2,1
2018,1,2,1
2018,1,2,0.818181818
2018,1,2,0
2018,1,2,0.1875
2018,2,2,0.607142857
2018,2,2,0.428571429
2018,2,2,0.357142857
2018,2,2,0.571428571
2018,2,2,0.642857143
2018,2,2,0.75
2018,2,2,0.178571429
2018,2,2,0.589285714
2018,2,2,0.571428571
2018,2,2,0.16
2018,2,2,0.866666667
2018,2,2,0.034482759
2018,2,2,0.566666667
2018,2,2,0.620689655
2018,2,2,0.068965517
2018,2,2,0.7
2018,2,2,0.733333333
2018,2,2,0.517241379
2018,2,2,0.24137931
2018,2,2,0.379310345
2018,2,2,0.733333333
2018,2,2,0.551724138
2018,2,2,0.103448276
2018,2,2,0.137931034
2018,2,2,0.482758621
2018,2,2,0.034482759
2018,2,2,0.517241379
2018,2,2,0.034482759
2018,2,2,0.293103448
2018,2,2,0.4
2018,2,2,0.310344828
2018,2,2,0.175862069
2018,2,2,0.448275862
2018,2,2,0.275862069
2018,2,2,0.24137931
2018,2,2,0.533333333
2018,2,2,0.45
2018,2,2,0.566666667
2018,2,2,0.24137931
2018,2,2,0.620689655
2018,2,2,0.275862069
2018,2,2,0.413793103
